,K,pas,moran,method
0,3,0.8490544640072581,0.8898998706922547,GpLSI
1,3,0.8198520030620056,0.8643342403268253,pLSI
2,3,0.8230557681948343,0.8577542576181246,TopicScore
3,3,0.845737291259108,0.8067432754068251,LDA
4,3,0.5245385727651612,0.432556065329675,SLDA
5,5,0.7924073601542343,0.7651874430821665,GpLSI
6,5,0.7461087011992855,0.7112881922158266,pLSI
7,5,0.6875336678857985,0.7567345568975018,TopicScore
8,5,0.7607949873834028,0.731365325692773,LDA
9,5,0.42984321397181824,0.42789015488588633,SLDA
10,7,0.7321028607070965,0.7148986341866065,GpLSI
11,7,0.6680559099543535,0.6729953641657715,pLSI
12,7,0.697513538034079,0.7425823048130675,TopicScore
13,7,0.7016245640894786,0.7777936285634164,LDA
14,7,0.40486518669728677,0.44963497003928016,SLDA
15,10,0.7131921408522582,0.7073734530791738,GpLSI
16,10,0.6533129199625756,0.656853428376582,pLSI
17,10,0.683592753253381,0.6641543637808821,TopicScore
18,10,0.6683677808964872,0.6849643124625208,LDA
19,10,0.36925519548637686,0.40925254714150316,SLDA
