topic,anchor,weight
Topic 1,vanilla,0.05988008515318143
Topic 1,chocolate,0.017848881771674145
Topic 1,ground cloves,0.0033239957175182845
Topic 1,chopped pecans,0.0029403301631302898
Topic 1,peaches,0.002704565543802919
Topic 1,almond extract,0.0017929271234880828
Topic 1,cream of tartar,0.0016997571117433265
Topic 1,sweetened condensed milk,0.0008127627288025854
Topic 1,shortening,0.0006969493254314813
Topic 1,heavy whipping cream,0.00027117682129507376
Topic 1,bourbon whiskey,8.641750388779139e-05
Topic 1,strawberries,7.339423088311347e-05
Topic 2,andouille sausage,0.009067451353270469
Topic 2,cajun seasoning,0.007539310109364794
Topic 2,creole seasoning,0.0058358493294600675
Topic 2,low salt chicken broth,0.001982595794942733
Topic 2,crawfish,0.0008620594743572051
Topic 2,salt and ground black pepper,0.0008177545162229693
Topic 2,italian seasoning,0.00027125095751253736
Topic 2,fresh mushrooms,1.8030952291216845e-05
Topic 3,cornmeal,0.00699871018745608
Topic 3,reduced sodium soy sauce,0.0008395991742210719
Topic 3,catfish fillets,0.0005923974071390362
Topic 3,mustard,0.0001483190011270807
Topic 4,turnips,0.0034351547405942202
Topic 4,peppercorns,0.0020672927040291176
Topic 4,dried shiitake mushrooms,0.001756337607434882
Topic 4,lard,0.0016134463597463644
Topic 4,dry yeast,0.0015987839339247543
Topic 4,smoked ham hocks,0.0015167170578621225
Topic 4,red kidney beans,0.001401981888026102
Topic 4,lamb shoulder,0.0013329106651880072
Topic 4,red beans,0.0012214574846802855
Topic 4,parsley sprigs,0.0010319561641599292
Topic 4,sushi rice,0.0009476331726306061
Topic 4,chicken bouillon,0.0009163007783469982
Topic 4,beets,0.0009131264744405466
Topic 4,beef shank,0.0008902713713766997
Topic 4,dried porcini mushrooms,0.0008452015263235561
Topic 5,flank steak,0.0021017453308118036
Topic 5,snow peas,0.0015953316393392137
Topic 5,ramen,0.0015813471600775644
Topic 5,dry sherry,0.0009651209130027089
Topic 5,steak,0.0009002928340493647
Topic 5,garlic chili sauce,0.00047107096056046936
Topic 5,chinese vinegar,0.00011749254326353254
Topic 5,shredded carrots,8.429298898436546e-05
Topic 6,ground coriander,0.017164152301305823
Topic 6,plain yogurt,0.003444420061577317
Topic 6,kaffir lime leaves,0.002482939124414465
Topic 6,galangal,0.001841034509558718
Topic 6,asian fish sauce,0.0016664327991975814
Topic 6,light coconut milk,0.0015803315938947829
Topic 6,chile,0.0015134969210960348
Topic 6,cauliflower,0.001455109933254002
Topic 6,thai chile,0.001416296540588284
Topic 6,lemon grass,0.0011940937193288036
Topic 6,mango,0.0011913831562925528
Topic 6,thai basil,0.0011306587879466045
Topic 6,red curry paste,0.0009419581442961244
Topic 6,palm sugar,0.0008585329644486648
Topic 6,red lentils,0.0007318736357257948
Topic 7,feta cheese,0.010221084296174847
Topic 7,bread,0.00545433044348709
Topic 7,capers,0.004888723542921227
Topic 7,fresh oregano,0.0035342468833548394
Topic 7,fresh parmesan cheese,0.0020970109472728416
Topic 7,sherry vinegar,0.0018153910287792728
Topic 7,fresh basil leaves,0.0017614245977161267
Topic 7,roasted red peppers,0.001572680616621336
Topic 7,grated lemon zest,0.0015225485199342288
Topic 7,ground lamb,0.0014787217887967182
Topic 7,grape tomatoes,0.0013244442075668228
Topic 7,mozzarella cheese,0.0011579749758189309
Topic 7,lemon wedge,0.001114803859315359
Topic 7,chopped fresh chives,0.0010671180315523828
Topic 7,asparagus,0.0010446625941393283
