topic,top5,top5_weights
1,sugar,0.2143461837265253
1,butter,0.11213487470828074
1,flour,0.10436315242755044
1,egg,0.07621594367156354
1,water,0.06812309427603962
1,vanilla,0.05988008515318143
1,milk,0.05687729820198346
1,baking powder,0.04209082027036587
1,salt,0.04151988955031851
1,cinnamon,0.03725268671880436
2,onion,0.17913670639061305
2,bell pepper,0.11542467446141834
2,garlic,0.10276805665176825
2,tomato paste,0.0832294063967129
2,celery,0.039765438731667574
2,bay leaves,0.030821651022605784
2,oil,0.030552738283679236
2,tomatoes,0.03043462773058686
2,olive oil,0.030276890552286245
2,chicken broth,0.029410039016491293
3,oil,0.23189200477863064
3,flour,0.07857515588750898
3,salt,0.07566246595419907
3,egg,0.06467554296494551
3,green onion,0.039335943416641775
3,soy sauce,0.03475565319440209
3,black pepper,0.028949437171100302
3,ginger,0.02601056421579477
3,butter,0.02337110945950399
3,milk,0.022278873664269064
4,water,0.23548601803265104
4,black pepper,0.09370867131762535
4,salt,0.08273515684919396
4,onion,0.06057931159001556
4,carrots,0.03385537983893031
4,thyme,0.030958219382239388
4,bay leaves,0.02888450950061673
4,potatoes,0.024427922592896084
4,chopped garlic,0.019085446412531785
4,celery,0.01791298604664249
5,soy sauce,0.12660662115315527
5,green onion,0.11669256559878532
5,garlic,0.09519249563817632
5,sugar,0.08219392382697192
5,sesame oil,0.073107382722032
5,ginger,0.059621433487394265
5,vinegar,0.03936870115457544
5,corn starch,0.029238582204453932
5,sesame seeds,0.029197028788196522
5,red pepper,0.023461151602962603
6,cilantro,0.10774944483599627
6,cumin,0.08192896375463253
6,lime juice,0.07189513376363423
6,salt,0.05613521983308446
6,tumeric,0.04295733718606104
6,oil,0.0397422538801685
6,ginger,0.0351082175717176
6,red pepper,0.03251738199454195
6,water,0.03226058246911603
6,garlic,0.03085988996350038
7,black pepper,0.16218536410044904
7,salt,0.1333619109465291
7,olive oil,0.10476009236769043
7,garlic,0.05611358815901304
7,lime juice,0.03644894820403954
7,butter,0.02887089519438435
7,thyme,0.023070641161885504
7,parsley,0.01923468488988343
7,egg,0.017554310359908367
7,parmesan cheese,0.01532339400990693
